experiment_id,experiment_type,primary_metric,start_date,end_date,planned_duration_days,actual_duration_days,planned_sample_size,actual_sample_size,peeked,has_true_effect,true_effect_size,observed_effect_size,p_value,called_winner,true_winner,error_type,underpowered,metrics_tested,p_hacking_risk
EXP001,Personalised thumbnail,click_through_rate,2020-02-21,2020-02-28,31,7,49265,11124,True,True,0.0618,0.0233,0.0,True,True,True Positive,False,1,False
EXP002,Autoplay next episode,watch_time,2020-07-10,2020-08-01,27,22,2739,2231,True,False,0.0,-0.0113,0.0,True,False,False Positive,True,5,True
EXP003,Continue watching prompt,watch_time,2021-03-27,2021-05-08,42,42,1425,1425,False,False,0.0,0.0169,0.0,True,False,False Positive,True,3,True
EXP004,Top 10 label,engagement_rate,2021-03-16,2021-04-12,35,27,7338,5660,True,False,0.0,0.0265,0.0,True,False,False Positive,False,3,True
EXP005,Email re-engagement,reactivation_rate,2021-06-25,2021-07-11,16,16,36142,36142,False,True,0.0746,0.0966,0.0,True,True,True Positive,False,5,True
EXP006,Recommended row placement,click_through_rate,2023-03-28,2023-04-23,26,26,4003,4003,False,False,0.0,0.0119,0.0,True,False,False Positive,True,3,True
EXP007,Personalised thumbnail,click_through_rate,2024-10-17,2024-11-14,28,28,25911,25911,False,True,0.0545,0.0354,0.0,True,True,True Positive,False,2,False
EXP008,Price discount popup,subscription_conversion,2023-12-08,2024-02-03,57,57,40920,40920,False,False,0.0,0.0217,0.0,True,False,False Positive,False,5,True
EXP009,Skip intro button,episode_completion,2020-11-30,2021-01-07,43,38,15392,13602,True,False,0.0,0.0286,0.0,True,False,False Positive,False,2,False
EXP010,Autoplay next episode,watch_time,2024-07-06,2024-07-11,34,5,14826,2180,True,False,0.0,-0.0433,0.0,True,False,False Positive,True,5,True
EXP011,Recommended row placement,click_through_rate,2021-03-11,2021-05-05,55,55,43129,43129,False,False,0.0,-0.0021,0.0,True,False,False Positive,False,5,True
EXP012,Download for offline prompt,feature_adoption,2021-06-22,2021-08-01,51,40,27175,21313,True,False,0.0,0.0225,0.0,True,False,False Positive,False,2,False
EXP013,Download for offline prompt,feature_adoption,2022-10-07,2022-10-26,19,19,8185,8185,False,True,0.0212,0.0041,0.0,True,True,True Positive,False,4,True
EXP014,Continue watching prompt,watch_time,2023-05-05,2023-06-17,43,43,37256,37256,False,False,0.0,-0.0366,0.0,True,False,False Positive,False,1,False
EXP015,Personalised thumbnail,click_through_rate,2023-10-28,2023-12-15,48,48,43006,43006,False,False,0.0,-0.0048,0.0,True,False,False Positive,False,1,False
EXP016,Price discount popup,subscription_conversion,2022-10-22,2022-11-16,25,25,7973,7973,False,False,0.0,0.017,0.0,True,False,False Positive,False,3,True
EXP017,Download for offline prompt,feature_adoption,2023-06-01,2023-06-09,26,8,36348,11184,True,False,0.0,0.0594,0.0,True,False,False Positive,False,5,True
EXP018,Recommended row placement,click_through_rate,2022-09-27,2022-10-05,15,8,21153,11281,True,True,0.0269,-0.0046,0.0,True,False,False Positive,False,5,True
EXP019,Personalised thumbnail,click_through_rate,2020-06-24,2020-08-23,60,60,5535,5535,False,False,0.0,-0.0152,0.0,True,False,False Positive,False,4,True
EXP020,Download for offline prompt,feature_adoption,2020-12-04,2021-01-03,30,30,40753,40753,False,False,0.0,-0.0032,0.0,True,False,False Positive,False,2,False
EXP021,Download for offline prompt,feature_adoption,2024-03-26,2024-05-25,60,60,47723,47723,False,False,0.0,0.0434,0.0,True,False,False Positive,False,4,True
EXP022,Download for offline prompt,feature_adoption,2022-07-13,2022-07-18,21,5,23156,5513,True,True,0.0488,0.0475,0.0,True,True,True Positive,False,5,True
EXP023,Skip intro button,episode_completion,2020-01-15,2020-02-02,18,18,4858,4858,False,True,0.0734,0.0807,0.0,True,True,True Positive,True,2,False
EXP024,Price discount popup,subscription_conversion,2023-10-02,2023-10-13,45,11,48405,11832,True,False,0.0,-0.0089,0.0,True,False,False Positive,False,5,True
EXP025,Email re-engagement,reactivation_rate,2022-08-26,2022-09-24,29,29,27677,27677,False,True,0.0168,-0.0118,0.0,True,False,False Positive,False,4,True
EXP026,Autoplay next episode,watch_time,2023-10-11,2023-12-05,55,55,7449,7449,False,True,0.061,0.0742,0.0,True,True,True Positive,False,1,False
EXP027,Skip intro button,episode_completion,2021-01-27,2021-02-22,26,26,10186,10186,False,False,0.0,-0.0041,0.0,True,False,False Positive,False,1,False
EXP028,Social proof badge,engagement_rate,2024-07-12,2024-08-25,49,44,36427,32709,True,False,0.0,0.0224,0.0,True,False,False Positive,False,1,False
EXP029,Skip intro button,episode_completion,2020-12-06,2021-01-15,40,40,15008,15008,False,False,0.0,0.0147,0.0,True,False,False Positive,False,1,False
EXP030,Continue watching prompt,watch_time,2021-06-27,2021-08-04,43,38,44376,39216,True,False,0.0,-0.0104,0.0,True,False,False Positive,False,2,False
EXP031,Skip intro button,episode_completion,2021-08-30,2021-09-26,27,27,38957,38957,False,False,0.0,0.0241,0.0,True,False,False Positive,False,1,False
EXP032,Email re-engagement,reactivation_rate,2022-09-03,2022-10-19,46,46,35807,35807,False,True,0.0773,0.087,0.0,True,True,True Positive,False,1,False
EXP033,Top 10 label,engagement_rate,2020-05-20,2020-06-07,52,18,27461,9505,True,True,0.0723,0.0733,0.0,True,True,True Positive,False,5,True
EXP034,Personalised thumbnail,click_through_rate,2022-05-08,2022-07-03,56,56,35261,35261,False,False,0.0,0.0403,0.0,True,False,False Positive,False,3,True
EXP035,Skip intro button,episode_completion,2023-10-03,2023-10-22,59,19,26938,8674,True,True,0.0552,-0.0113,0.0,True,False,False Positive,False,1,False
EXP036,Autoplay next episode,watch_time,2022-07-27,2022-09-18,53,53,7552,7552,False,True,0.0249,0.0432,0.0,True,True,True Positive,False,3,True
EXP037,Top 10 label,engagement_rate,2021-12-15,2022-01-02,18,18,25217,25217,False,True,0.0407,0.0162,0.0,True,True,True Positive,False,5,True
EXP038,Autoplay next episode,watch_time,2023-09-29,2023-11-13,49,45,7788,7152,True,False,0.0,-0.0068,0.0,True,False,False Positive,False,2,False
EXP039,Price discount popup,subscription_conversion,2020-08-24,2020-09-13,20,20,11187,11187,False,True,0.0523,0.0482,0.0,True,True,True Positive,False,3,True
EXP040,Download for offline prompt,feature_adoption,2022-09-27,2022-10-27,30,30,4329,4329,False,True,0.0397,0.0199,0.0,True,True,True Positive,True,3,True
EXP041,Autoplay next episode,watch_time,2020-01-08,2020-02-12,35,35,42753,42753,False,False,0.0,0.0171,0.0,True,False,False Positive,False,4,True
EXP042,Download for offline prompt,feature_adoption,2020-01-20,2020-01-27,21,7,36755,12251,True,True,0.0358,0.0633,0.0,True,True,True Positive,False,5,True
EXP043,Top 10 label,engagement_rate,2022-05-30,2022-06-13,22,14,3614,2299,True,False,0.0,0.0056,0.0,True,False,False Positive,True,1,False
EXP044,Recommended row placement,click_through_rate,2024-05-16,2024-07-04,49,49,27632,27632,False,False,0.0,0.022,0.0,True,False,False Positive,False,2,False
EXP045,Skip intro button,episode_completion,2024-11-05,2024-11-29,24,24,12603,12603,False,False,0.0,0.0484,0.0,True,False,False Positive,False,3,True
EXP046,Continue watching prompt,watch_time,2024-06-30,2024-08-25,56,56,17263,17263,False,True,0.0651,0.0727,0.0,True,True,True Positive,False,1,False
EXP047,Continue watching prompt,watch_time,2024-11-21,2024-12-07,16,16,15577,15577,False,True,0.0743,0.0417,0.0,True,True,True Positive,False,2,False
EXP048,Skip intro button,episode_completion,2020-02-18,2020-03-13,56,24,19258,8253,True,False,0.0,0.0451,0.0,True,False,False Positive,False,3,True
EXP049,Recommended row placement,click_through_rate,2023-08-06,2023-09-12,46,37,22702,18260,True,False,0.0,0.0596,0.0,True,False,False Positive,False,2,False
EXP050,Email re-engagement,reactivation_rate,2021-06-27,2021-07-06,16,9,23654,13305,True,False,0.0,0.0528,0.0,True,False,False Positive,False,3,True
EXP051,Continue watching prompt,watch_time,2023-05-26,2023-07-04,46,39,13457,11409,True,True,0.0596,0.128,0.0,True,True,True Positive,False,5,True
EXP052,Skip intro button,episode_completion,2022-01-15,2022-02-08,41,24,41839,24491,True,False,0.0,0.0007,0.0285,True,False,False Positive,False,1,False
