experiment_id,experiment_type,primary_metric,called_winner,true_winner,error_type,peeked,underpowered,p_hacking_risk,p_value,actual_sample_size,actual_duration_days,decision_confidence_score,false_positive_risk_index
EXP112,Recommended row placement,click_through_rate,True,False,False Positive,True,True,True,0.0,1274,3,25.0,0.8
EXP145,Email re-engagement,reactivation_rate,True,False,False Positive,True,True,True,0.0,1861,3,25.0,0.8
EXP100,Download for offline prompt,feature_adoption,True,False,False Positive,True,True,True,0.0,3489,5,25.0,0.8
EXP166,Personalised thumbnail,click_through_rate,True,False,False Positive,True,True,True,0.0,3813,10,25.0,0.8
EXP164,Autoplay next episode,watch_time,True,False,False Positive,True,True,True,0.0,3331,9,25.0,0.8
EXP010,Autoplay next episode,watch_time,True,False,False Positive,True,True,True,0.0,2180,5,25.0,0.8
EXP081,Email re-engagement,reactivation_rate,True,False,False Positive,True,True,True,0.0,2385,4,25.0,0.8
EXP068,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,2562,3,25.0,0.8
EXP200,Top 10 label,engagement_rate,True,False,False Positive,True,True,True,0.0,2523,26,25.0,0.8
EXP059,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,1175,25,25.0,0.8
EXP185,Skip intro button,episode_completion,True,False,False Positive,True,True,True,0.0,4160,12,25.0,0.8
EXP098,Download for offline prompt,feature_adoption,True,True,True Positive,True,True,True,0.0006,3753,20,25.0,0.8
EXP121,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,276,4,25.0,0.8
EXP002,Autoplay next episode,watch_time,True,False,False Positive,True,True,True,0.0,2231,22,25.0,0.8
EXP095,Skip intro button,episode_completion,True,True,True Positive,True,True,True,0.0,2091,5,25.0,0.8
EXP175,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,2637,7,25.0,0.8
EXP102,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,4688,20,25.0,0.8
EXP043,Top 10 label,engagement_rate,True,False,False Positive,True,True,False,0.0,2299,14,45.0,0.6
EXP066,Skip intro button,episode_completion,True,False,False Positive,True,True,False,0.0,3872,4,45.0,0.6
