experiment_id,experiment_type,error_type,called_winner,false_positive_shipped,decision_confidence_score,confidence_category,shipping_cost,monthly_revenue_impact,total_cost_of_wrong_decision
EXP112,Recommended row placement,False Positive,True,True,25.0,Low Confidence,35000,-7000,161000
EXP145,Email re-engagement,False Positive,True,True,25.0,Low Confidence,15000,-3000,69000
EXP100,Download for offline prompt,False Positive,True,True,25.0,Low Confidence,40000,-5000,130000
EXP166,Personalised thumbnail,False Positive,True,True,25.0,Low Confidence,30000,-5000,120000
EXP164,Autoplay next episode,False Positive,True,True,25.0,Low Confidence,45000,-8000,189000
EXP010,Autoplay next episode,False Positive,True,True,25.0,Low Confidence,45000,-8000,189000
EXP081,Email re-engagement,False Positive,True,True,25.0,Low Confidence,15000,-3000,69000
EXP068,Social proof badge,False Positive,True,True,25.0,Low Confidence,10000,-2000,46000
EXP200,Top 10 label,False Positive,True,True,25.0,Low Confidence,15000,-3000,69000
EXP059,Social proof badge,False Positive,True,True,25.0,Low Confidence,10000,-2000,46000
EXP185,Skip intro button,False Positive,True,True,25.0,Low Confidence,20000,-6000,128000
EXP098,Download for offline prompt,True Positive,True,False,25.0,Low Confidence,0,0,0
EXP121,Social proof badge,False Positive,True,True,25.0,Low Confidence,10000,-2000,46000
EXP002,Autoplay next episode,False Positive,True,True,25.0,Low Confidence,45000,-8000,189000
EXP095,Skip intro button,True Positive,True,False,25.0,Low Confidence,0,0,0
EXP175,Social proof badge,False Positive,True,True,25.0,Low Confidence,10000,-2000,46000
EXP102,Social proof badge,False Positive,True,True,25.0,Low Confidence,10000,-2000,46000
EXP043,Top 10 label,False Positive,True,True,45.0,Low Confidence,15000,-3000,69000
EXP066,Skip intro button,False Positive,True,True,45.0,Low Confidence,20000,-6000,128000
EXP136,Continue watching prompt,False Positive,True,True,45.0,Low Confidence,20000,-4000,92000
EXP091,Price discount popup,False Positive,True,True,45.0,Low Confidence,25000,-12000,241000
EXP169,Skip intro button,True Negative,False,False,45.0,Low Confidence,0,0,0
EXP108,Skip intro button,True Negative,False,False,45.0,Low Confidence,0,0,0
EXP140,Download for offline prompt,False Positive,True,True,50.0,Medium Confidence,40000,-5000,130000
EXP196,Email re-engagement,False Positive,True,True,50.0,Medium Confidence,15000,-3000,69000
EXP139,Price discount popup,False Positive,True,True,50.0,Medium Confidence,25000,-12000,241000
EXP138,Email re-engagement,False Positive,True,True,50.0,Medium Confidence,15000,-3000,69000
EXP137,Personalised thumbnail,False Positive,True,True,50.0,Medium Confidence,30000,-5000,120000
EXP135,Autoplay next episode,False Positive,True,True,50.0,Medium Confidence,45000,-8000,189000
EXP048,Skip intro button,False Positive,True,True,50.0,Medium Confidence,20000,-6000,128000
EXP050,Email re-engagement,False Positive,True,True,50.0,Medium Confidence,15000,-3000,69000
EXP051,Continue watching prompt,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP122,Top 10 label,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP118,Personalised thumbnail,False Positive,True,True,50.0,Medium Confidence,30000,-5000,120000
EXP042,Download for offline prompt,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP096,Social proof badge,False Positive,True,True,50.0,Medium Confidence,10000,-2000,46000
EXP088,Personalised thumbnail,False Positive,True,True,50.0,Medium Confidence,30000,-5000,120000
EXP086,Price discount popup,False Positive,True,True,50.0,Medium Confidence,25000,-12000,241000
EXP084,Social proof badge,False Positive,True,True,50.0,Medium Confidence,10000,-2000,46000
EXP079,Social proof badge,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP184,Download for offline prompt,False Positive,True,True,50.0,Medium Confidence,40000,-5000,130000
EXP180,Recommended row placement,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP178,Personalised thumbnail,False Positive,True,True,50.0,Medium Confidence,30000,-5000,120000
EXP177,Email re-engagement,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP017,Download for offline prompt,False Positive,True,True,50.0,Medium Confidence,40000,-5000,130000
EXP018,Recommended row placement,False Positive,True,True,50.0,Medium Confidence,35000,-7000,161000
EXP174,Social proof badge,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP170,Personalised thumbnail,False Positive,True,True,50.0,Medium Confidence,30000,-5000,120000
EXP022,Download for offline prompt,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP024,Price discount popup,False Positive,True,True,50.0,Medium Confidence,25000,-12000,241000
EXP161,Email re-engagement,False Positive,True,True,50.0,Medium Confidence,15000,-3000,69000
EXP004,Top 10 label,False Positive,True,True,50.0,Medium Confidence,15000,-3000,69000
EXP160,Continue watching prompt,False Positive,True,True,50.0,Medium Confidence,20000,-4000,92000
EXP156,Recommended row placement,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP153,Personalised thumbnail,False Positive,True,True,50.0,Medium Confidence,30000,-5000,120000
EXP033,Top 10 label,True Positive,True,False,50.0,Medium Confidence,0,0,0
EXP148,Social proof badge,False Positive,True,True,50.0,Medium Confidence,10000,-2000,46000
EXP107,Skip intro button,False Positive,True,True,50.0,Medium Confidence,20000,-6000,128000
EXP103,Social proof badge,False Positive,True,True,50.0,Medium Confidence,10000,-2000,46000
EXP062,Download for offline prompt,False Positive,True,True,50.0,Medium Confidence,40000,-5000,130000
EXP064,Social proof badge,False Positive,True,True,50.0,Medium Confidence,10000,-2000,46000
EXP006,Recommended row placement,False Positive,True,True,55.0,Medium Confidence,35000,-7000,161000
EXP133,Download for offline prompt,False Positive,True,True,55.0,Medium Confidence,40000,-5000,130000
EXP193,Skip intro button,False Positive,True,True,55.0,Medium Confidence,20000,-6000,128000
EXP003,Continue watching prompt,False Positive,True,True,55.0,Medium Confidence,20000,-4000,92000
EXP040,Download for offline prompt,True Positive,True,False,55.0,Medium Confidence,0,0,0
EXP052,Skip intro button,False Positive,True,True,60.0,Medium Confidence,20000,-6000,128000
EXP001,Personalised thumbnail,True Positive,True,False,70.0,Medium Confidence,0,0,0
EXP009,Skip intro button,False Positive,True,True,70.0,Medium Confidence,20000,-6000,128000
EXP012,Download for offline prompt,False Positive,True,True,70.0,Medium Confidence,40000,-5000,130000
EXP028,Social proof badge,False Positive,True,True,70.0,Medium Confidence,10000,-2000,46000
EXP030,Continue watching prompt,False Positive,True,True,70.0,Medium Confidence,20000,-4000,92000
EXP035,Skip intro button,False Positive,True,True,70.0,Medium Confidence,20000,-6000,128000
EXP038,Autoplay next episode,False Positive,True,True,70.0,Medium Confidence,45000,-8000,189000
EXP049,Recommended row placement,False Positive,True,True,70.0,Medium Confidence,35000,-7000,161000
EXP055,Price discount popup,False Positive,True,True,70.0,Medium Confidence,25000,-12000,241000
EXP065,Personalised thumbnail,True Positive,True,False,70.0,Medium Confidence,0,0,0
EXP070,Personalised thumbnail,True Positive,True,False,70.0,Medium Confidence,0,0,0
EXP072,Autoplay next episode,False Positive,True,True,70.0,Medium Confidence,45000,-8000,189000
EXP085,Email re-engagement,False Positive,True,True,70.0,Medium Confidence,15000,-3000,69000
EXP101,Price discount popup,False Positive,True,True,70.0,Medium Confidence,25000,-12000,241000
EXP120,Skip intro button,False Positive,True,True,70.0,Medium Confidence,20000,-6000,128000
EXP151,Download for offline prompt,False Positive,True,True,70.0,Medium Confidence,40000,-5000,130000
EXP155,Autoplay next episode,False Positive,True,True,70.0,Medium Confidence,45000,-8000,189000
EXP159,Top 10 label,False Positive,True,True,70.0,Medium Confidence,15000,-3000,69000
EXP162,Social proof badge,False Positive,True,True,70.0,Medium Confidence,10000,-2000,46000
EXP179,Download for offline prompt,False Positive,True,True,70.0,Medium Confidence,40000,-5000,130000
EXP194,Personalised thumbnail,False Positive,True,True,70.0,Medium Confidence,30000,-5000,120000
EXP060,Skip intro button,False Positive,True,True,75.0,High Confidence,20000,-6000,128000
EXP105,Recommended row placement,False Positive,True,True,75.0,High Confidence,35000,-7000,161000
EXP157,Email re-engagement,False Positive,True,True,75.0,High Confidence,15000,-3000,69000
EXP117,Social proof badge,False Positive,True,True,75.0,High Confidence,10000,-2000,46000
EXP023,Skip intro button,True Positive,True,False,75.0,High Confidence,0,0,0
EXP061,Social proof badge,False Positive,True,True,80.0,High Confidence,10000,-2000,46000
EXP093,Download for offline prompt,True Positive,True,False,80.0,High Confidence,0,0,0
EXP071,Social proof badge,True Positive,True,False,80.0,High Confidence,0,0,0
EXP005,Email re-engagement,True Positive,True,False,80.0,High Confidence,0,0,0
EXP053,Price discount popup,False Positive,True,True,80.0,High Confidence,25000,-12000,241000
EXP124,Social proof badge,False Positive,True,True,80.0,High Confidence,10000,-2000,46000
EXP125,Email re-engagement,True Positive,True,False,80.0,High Confidence,0,0,0
EXP127,Continue watching prompt,False Positive,True,True,80.0,High Confidence,20000,-4000,92000
EXP128,Price discount popup,True Positive,True,False,80.0,High Confidence,0,0,0
EXP130,Personalised thumbnail,True Positive,True,False,80.0,High Confidence,0,0,0
EXP131,Download for offline prompt,False Positive,True,True,80.0,High Confidence,40000,-5000,130000
EXP132,Recommended row placement,True Positive,True,False,80.0,High Confidence,0,0,0
EXP134,Email re-engagement,False Positive,True,True,80.0,High Confidence,15000,-3000,69000
EXP045,Skip intro button,False Positive,True,True,80.0,High Confidence,20000,-6000,128000
EXP041,Autoplay next episode,False Positive,True,True,80.0,High Confidence,45000,-8000,189000
