experiment_id,experiment_type,primary_metric,called_winner,true_winner,error_type,peeked,underpowered,p_hacking_risk,p_value,actual_sample_size,actual_duration_days,decision_confidence_score,false_positive_risk_index,false_positive_shipped,shipping_cost,monthly_revenue_impact,total_cost_of_wrong_decision,confidence_category,experiment_number
EXP112,Recommended row placement,click_through_rate,True,False,False Positive,True,True,True,0.0,1274,3,25.0,0.8,True,35000,-7000,161000,Low Confidence,1
EXP145,Email re-engagement,reactivation_rate,True,False,False Positive,True,True,True,0.0,1861,3,25.0,0.8,True,15000,-3000,69000,Low Confidence,2
EXP100,Download for offline prompt,feature_adoption,True,False,False Positive,True,True,True,0.0,3489,5,25.0,0.8,True,40000,-5000,130000,Low Confidence,3
EXP166,Personalised thumbnail,click_through_rate,True,False,False Positive,True,True,True,0.0,3813,10,25.0,0.8,True,30000,-5000,120000,Low Confidence,4
EXP164,Autoplay next episode,watch_time,True,False,False Positive,True,True,True,0.0,3331,9,25.0,0.8,True,45000,-8000,189000,Low Confidence,5
EXP010,Autoplay next episode,watch_time,True,False,False Positive,True,True,True,0.0,2180,5,25.0,0.8,True,45000,-8000,189000,Low Confidence,6
EXP081,Email re-engagement,reactivation_rate,True,False,False Positive,True,True,True,0.0,2385,4,25.0,0.8,True,15000,-3000,69000,Low Confidence,7
EXP068,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,2562,3,25.0,0.8,True,10000,-2000,46000,Low Confidence,8
EXP200,Top 10 label,engagement_rate,True,False,False Positive,True,True,True,0.0,2523,26,25.0,0.8,True,15000,-3000,69000,Low Confidence,9
EXP059,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,1175,25,25.0,0.8,True,10000,-2000,46000,Low Confidence,10
EXP185,Skip intro button,episode_completion,True,False,False Positive,True,True,True,0.0,4160,12,25.0,0.8,True,20000,-6000,128000,Low Confidence,11
EXP098,Download for offline prompt,feature_adoption,True,True,True Positive,True,True,True,0.0006,3753,20,25.0,0.8,False,0,0,0,Low Confidence,12
EXP121,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,276,4,25.0,0.8,True,10000,-2000,46000,Low Confidence,13
EXP002,Autoplay next episode,watch_time,True,False,False Positive,True,True,True,0.0,2231,22,25.0,0.8,True,45000,-8000,189000,Low Confidence,14
EXP095,Skip intro button,episode_completion,True,True,True Positive,True,True,True,0.0,2091,5,25.0,0.8,False,0,0,0,Low Confidence,15
EXP175,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,2637,7,25.0,0.8,True,10000,-2000,46000,Low Confidence,16
EXP102,Social proof badge,engagement_rate,True,False,False Positive,True,True,True,0.0,4688,20,25.0,0.8,True,10000,-2000,46000,Low Confidence,17
EXP043,Top 10 label,engagement_rate,True,False,False Positive,True,True,False,0.0,2299,14,45.0,0.6,True,15000,-3000,69000,Low Confidence,18
EXP066,Skip intro button,episode_completion,True,False,False Positive,True,True,False,0.0,3872,4,45.0,0.6,True,20000,-6000,128000,Low Confidence,19
EXP136,Continue watching prompt,watch_time,True,False,False Positive,True,True,False,0.0,3808,4,45.0,0.6,True,20000,-4000,92000,Low Confidence,20
EXP091,Price discount popup,subscription_conversion,True,False,False Positive,True,True,False,0.0,4336,7,45.0,0.6,True,25000,-12000,241000,Low Confidence,21
EXP169,Skip intro button,episode_completion,False,False,True Negative,True,True,False,0.4354,4225,8,45.0,0.6,False,0,0,0,Low Confidence,22
EXP108,Skip intro button,episode_completion,False,False,True Negative,True,True,False,0.3398,4649,3,45.0,0.6,False,0,0,0,Low Confidence,23
EXP140,Download for offline prompt,feature_adoption,True,False,False Positive,True,False,True,0.0,7466,20,50.0,0.55,True,40000,-5000,130000,Medium Confidence,24
EXP196,Email re-engagement,reactivation_rate,True,False,False Positive,True,False,True,0.0,5114,9,50.0,0.55,True,15000,-3000,69000,Medium Confidence,25
EXP139,Price discount popup,subscription_conversion,True,False,False Positive,True,False,True,0.0,16110,31,50.0,0.55,True,25000,-12000,241000,Medium Confidence,26
EXP138,Email re-engagement,reactivation_rate,True,False,False Positive,True,False,True,0.0,21228,29,50.0,0.55,True,15000,-3000,69000,Medium Confidence,27
EXP137,Personalised thumbnail,click_through_rate,True,False,False Positive,True,False,True,0.0,16876,32,50.0,0.55,True,30000,-5000,120000,Medium Confidence,28
EXP135,Autoplay next episode,watch_time,True,False,False Positive,True,False,True,0.0,13291,42,50.0,0.55,True,45000,-8000,189000,Medium Confidence,29
